time,price,trade,amount
2016/1/29,2946.09,11330425900.00 ,109462356680.00 
2016/1/28,2853.756,9922275600.00 ,95663874927.00 
2016/1/27,2930.352,13222936600.00 ,126997670778.00 
2016/1/26,2940.509,12693392100.00 ,127250652518.00 
2016/1/25,3128.886,8154006100.00 ,85777891364.00 
2016/1/22,3113.463,8995108700.00 ,96885673842.00 
2016/1/21,3081.345,11118973300.00 ,121856195433.00 
2016/1/20,3174.378,13065050400.00 ,143313337192.00 
2016/1/19,3223.125,12765389300.00 ,142907686296.00 
2016/1/18,3130.729,10112838600.00 ,109458287764.00 
2016/1/15,3118.73,12460177900.00 ,131882737252.00 
2016/1/14,3221.571,13453767100.00 ,144771580596.00 
2016/1/13,3155.879,12066649400.00 ,130886082444.00 
2016/1/12,3215.71,12822579600.00 ,142048909710.00 
2016/1/11,3192.45,17463838700.00 ,184464050180.00 
2016/1/8,3361.563,18595945100.00 ,203498868289.00 
2016/1/7,3294.384,4410264100.00 ,47130795628.00 
2016/1/6,3539.808,14596614400.00 ,160947198402.00 
2016/1/5,3478.78,16211698400.00 ,196017085879.00 
2016/1/4,3469.066,11537067400.00 ,145968206095.00 
2015/12/31,3731.005,10187355600.00 ,145043696235.00 
2015/12/30,3765.175,10562995500.00 ,155744099319.00 
2015/12/29,3761.875,10188555500.00 ,140405054699.00 
2015/12/28,3727.632,15398844000.00 ,210026020459.00 
2015/12/25,3838.201,11962401300.00 ,163314511431.00 
2015/12/24,3829.402,14718139700.00 ,203683543579.00 
2015/12/23,3866.381,20701714700.00 ,294710770246.00 
2015/12/22,3876.733,18030366100.00 ,243797366698.00 
2015/12/21,3865.965,21743527500.00 ,289905289214.00 
2015/12/18,3767.913,17346598000.00 ,232281458171.00 
2015/12/17,3755.888,17792407500.00 ,242543823434.00 
2015/12/16,3685.44,11134272300.00 ,160118243242.00 
2015/12/15,3694.389,12648171000.00 ,186795461663.00 
2015/12/14,3711.322,15176911900.00 ,203291513291.00 
2015/12/11,3608.059,11032248100.00 ,145248640244.00 
2015/12/10,3623.084,12021562500.00 ,168622188283.00 
2015/12/9,3635.938,11332542200.00 ,154319992100.00 
2015/12/8,3623.02,12578108300.00 ,163317229186.00 
2015/12/7,3687.607,11388315000.00 ,161220059836.00 
2015/12/4,3677.592,15119952200.00 ,196455597757.00 
2015/12/3,3749.299,19776212600.00 ,236698987440.00 
2015/12/2,3721.955,21353886500.00 ,260938692616.00 
2015/12/1,3591.696,13653655400.00 ,176598805608.00 
2015/11/30,3566.412,17320116300.00 ,220098287801.00 
